name;ep;watch;desc;deets;lat;lng;hulu
Renting in Utrecht;Season: 143 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/renting-in-utrecht target="_blank">Watch on HGTV GO</a>";A recently engaged couple relocates to Utrecht, Netherlands, so that he can attend college. The competitive rental market will be challenge enough, but their disagreement on style, size and location might be the biggest obstacle.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/i-do-but-do-u-trecht target="_blank">here</a> for episode details.";52.0949753;5.109708;
Adjusting to the Netherlands;Season: 154 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/adjusting-to-the-netherlands target="_blank">Watch on HGTV GO</a>";A Canadian bachelor wants to expand his chiropractic business in Utrecht, Netherlands. He hopes to find a home in the city center with plenty of outdoor and entertaining space, but with home prices skyrocketing, he may not get everything on his wish list.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/adjusting-to-the-netherlands target="_blank">here</a> for episode details.";52.0949753;5.109708;
A Second Honeymoon in The Hague;Season: 153 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-second-honeymoon-in-the-hague target="_blank">Watch on HGTV GO</a>";A job opportunity in the Netherlands gives an empty nester couple the chance start a new chapter. They're looking for at least two bedrooms and she wants to be in the city center, while he wants a place that's near the beach.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-second-honeymoon-in-the-hague target="_blank">here</a> for episode details.";52.07494555;4.269680221;
Happy Kids in The Hague;Season: 155 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/happy-kids-in-the-hague target="_blank">Watch on HGTV GO</a>";A Seattle couple decides to move to the Netherlands to raise their kids, and they both love The Hague's biking culture. However, he wants an easy bike commute near the city center, but she wants a home on the outskirts with a yard.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/happy-kids-in-the-hague target="_blank">here</a> for episode details.";52.07494555;4.269680221;
Cows and Culture in South Holland;Season: 148 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/cows-and-culture-in-south-holland target="_blank">Watch on HGTV GO</a>";A couple moves to her home country to be closer to family in South Holland, Netherlands. They're looking for two bedrooms and a yard for their dogs, but he wants to be in the city while she's looking for a place with a small town feel.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/cows-and-culture-in-south-holland target="_blank">here</a> for episode details.";51.9966792;4.5597397;
In the Mood for Love in Munster;Season: 160 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/in-the-mood-for-love-in-munster target="_blank">Watch on HGTV GO</a>";A young woman is ready to live with her long-distance boyfriend for the first time in Munster, Germany. They're both college students, so he doesn't mind a shared apartment with roommates to save with expenses, but she wants something more private.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/in-the-mood-for-love-in-munster target="_blank">here</a> for episode details.";51.9625101;7.6251879;
By Land or By Sea in Cork;Season: 116 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/by-land-or-by-sea-in-cork target="_blank">Watch on HGTV GO</a>";A new job triggers a move from Florida to Cork, Ireland, for Franklin, Danielle and their two large dogs. But it won't be easy to find a pet-friendly apartment that meets their wants and needs in Cork's thriving market.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/by-land-or-by-sea-in-cork target="_blank">here</a> for episode details.";51.8979282;-8.4705806;
Duty Calls to the Cotswolds;Season: 154 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/duty-calls-to-the-cotswolds target="_blank">Watch on HGTV GO</a>";A couple with a toddler follows a military job to the picturesque Cotswolds region of England. She hopes to find a home with rural British charm, but he's not sold on the quaint village vibe.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/duty-calls-to-the-cotswolds target="_blank">here</a> for episode details.";51.7489422;-0.2303579;
Checking Off a Goal;Season: 126 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/checking-off-a-goal target="_blank">Watch on HGTV GO</a>";Newlyweds that share a passion for travel and want to work internationally before starting a family leap at the chance to follow a job opportunity to Abbots Langley, England. This is their first time living abroad, as well as their first time living together, so their agent has his work cut out for him to find a home they both love.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/checking-off-a-goal target="_blank">here</a> for episode details.";51.7066382;-0.4178071;
All Kinds of Inspiration in Kinsale, Ireland;Season: 130 Episode: 10;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/all-kinds-of-inspiration-in-kinsale-ireland target="_blank">Watch on HGTV GO</a>";Peter and Kimberley are looking for inspiration beyond their life in West Palm Beach, Florida. Kimberley has family roots in Ireland, so they're moving to Kinsale, where Peter plans to write a novel. Between the rolling hills, the quaint town center and the ancient pubs, the couple has to choose which muse to follow as they look for a home and lay down roots.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/all-kinds-of-inspiration-in-kinsale-ireland target="_blank">here</a> for episode details.";51.705737;-8.5229823;
Nitty Gritty in Maidenhead;Season: 149 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/nitty-gritty-in-maidenhead target="_blank">Watch on HGTV GO</a>";After spending years in a long-distance relationship, a newly married couple decides to make their first home together abroad in Maidenhead, England. She wants two bedrooms to accommodate visiting friends and family, but he wants to save money with just one bedroom. They agree on a city center apartment with a parking spot, however.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/nitty-gritty-in-maidenhead target="_blank">here</a> for episode details.";51.5237638;-0.718806;
The King of Queens in London, England;Season: 128 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/the-king-of-queens-in-london-england target="_blank">Watch on HGTV GO</a>";Jordan is getting the chance of a lifetime to study playwriting at a graduate school in London, and he's bringing his dog as well as his drag alter ego, Wanda Cookie, along for the adventure. Jordan is set on living solo, but his friend thinks he'll need something bigger than just a small studio apartment.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/the-king-of-queens-in-london-england target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d140
London by Line Item;Season: 129 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/london-by-line-item target="_blank">Watch on HGTV GO</a>";A Philadelphia professional yearns to shake up her life with a new job opportunity in London, but her hesitant boyfriend has never lived outside of America's East Coast and is anxious about moving into the unknown. He remedies the stress by making a living criteria checklist, but at the end of the day the columns will have to add up for both of them if they're going to sign on the dotted line together.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/london-by-line-item target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d141
Embracing a New Life in London;Season: 132 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/embracing-a-new-life-in-london target="_blank">Watch on HGTV GO</a>";Laura and her husband, Patrick, have a new perspective on life after she beat cancer. For them, living every moment to the fullest begins with a fresh start in London, but between their dog Alfie's needs and their polar opposite tastes, success in their new town will also mean settling on a fresh idea of what home can be.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/embracing-a-new-life-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d142
Escaping the Comfortable Life for London Thrills;Season: 137 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/escaping-the-comfortable-life-for-london-thrills target="_blank">Watch on HGTV GO</a>";Longtime sweethearts tired of their comfortable life in Cincinnati look for a change of pace in London. But this strong-willed couple has trouble agreeing on their first joint home and has the property expert playing both guru and referee.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/escaping-the-comfortable-life-for-london-thrills target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d143
Famous Frenchies in London;Season: 139 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/famous-frenchies-in-london target="_blank">Watch on HGTV GO</a>";What started as fun pictures of French bulldogs on social media quickly turned into two photogenic pups acting as the breadwinners of the family! Looking to expand their opportunities, the dogs and their owners are heading to England thinking West London charm will be the perfect backdrop for more photos. A local property expert has his work cut out for him as he helps these social media superstars find the perfect place to rest their paws.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/famous-frenchies-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d144
Out and About in London;Season: 139 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/out-and-about-in-london target="_blank">Watch on HGTV GO</a>";After falling in love with Europe's thriving LGBT community on a backpacking trip, a Beijing man follows a job offer to London with big dreams of living a more open lifestyle. Eager for a change, he's totally unprepared for the big cost that accompanies London's more vibrant neighborhoods and faces the possibility of being priced out of the location and lifestyle that lured him there.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/out-and-about-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d145
The Leap to London;Season: 119 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/the-leap-to-london target="_blank">Watch on HGTV GO</a>";After getting the opportunity to transfer jobs from Seattle to London, a man with dreams of living overseas and his surprised wife are excited to start a new adventure together. He hopes to find a budget-friendly home with a short commute to his job in Piccadilly Circus. She's sacrificing a lot, however, so she wants the whole London experience in exchange, including a flat with English charm and plenty of room for visitors.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/the-leap-to-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
Taking the London Leap;Season: 121 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/taking-the-london-leap target="_blank">Watch on HGTV GO</a>";Texas newlyweds get the job opportunity of a lifetime in London. Now the young couple is headed abroad for the first time where sticker shock and small spaces await them. She wants the best London has to offer with a posh Notting Hill flat but he's more budget conscious and balks at the prospect of living in an expensive neighborhood. Will they break the bank to chase her dream apartment or adhere to his practicality?;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/taking-the-london-leap target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
Lights, Camera, London;Season: 127 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/lights-camera-london target="_blank">Watch on HGTV GO</a>";After years of working in the entertainment industry, a Los Angeles woman and her husband decide to chase her lifelong dream of obtaining a master's degree at The London School of Economics. But the transition proves difficult when they cross the pond and transform from two professionals into one full-time student and zero combined income.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/lights-camera-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
Recreating Home in London;Season: 143 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/recreating-home-in-london target="_blank">Watch on HGTV GO</a>";A young family moves to London for dad's new job and it's a big transition from suburbs to city living. He insists on being able to walk to his new office in the heart of downtown, but the culture shock of a busy city center might prove too much for mom and son.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/recreating-home-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
Finding a Cure in London;Season: 145 Episode: 11;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/finding-a-cure-in-london target="_blank">Watch on HGTV GO</a>";An American Ph.D. student and cancer survivor moves to England to work on a cure at a leading university. She's hoping to find an adult space on a student budget but finding an affordable, roomy space will be a tough first lesson to learn in London.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/finding-a-cure-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
Taking Their Shot in London;Season: 147 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/taking-their-shot-in-london target="_blank">Watch on HGTV GO</a>";Newlyweds from Chicago met on the college basketball team and are moving to London for a job transfer. Concerned about dependence on a single income, one wants an affordable suburban home, while her wife longs to be in the city, no matter the cost.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/taking-their-shot-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
An Eye for Design in London;Season: 153 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/an-eye-for-design-in-london target="_blank">Watch on HGTV GO</a>";Two New York designers go to London to take their careers, and their relationship, to the next level. They share high-end design standards and are both difficult to please, but with only one of them working, money threatens to deflate their expectations.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/an-eye-for-design-in-london target="_blank">here</a> for episode details.";51.5073219;-0.1276474;
A London Loft for Lovebirds;Season: 128 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-london-loft-for-lovebirds target="_blank">Watch on HGTV GO</a>";Canadians Mac and Giulia are embarking upon a new city, new jobs, a new relationship and a new home. They're excited to find a loft in East London, but the search turns tricky when they realize that they want totally different styles for their first place together.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-london-loft-for-lovebirds target="_blank">here</a> for episode details.";51.5027521;-0.1530773;
Ready or Not in Bristol, England;Season: 133 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/ready-or-not-in-bristol-england target="_blank">Watch on HGTV GO</a>";Erin and Sean have always lived in California with their two daughters and two dogs. When Sean was offered a position in Bristol, England, he shocked his wife by taking it. Erin had no plans to leave her teaching job of 18 years or the beautiful California weather. Finally convinced it would be a great opportunity for the kids, Erin is a newbie stay-at-home mom who makes it her business to find a home that suits her just right.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/ready-or-not-in-bristol-england target="_blank">here</a> for episode details.";51.4538022;-2.5972985;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d139
A Castle in the Netherlands;Season: 116 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-castle-in-the-netherlands target="_blank">Watch on HGTV GO</a>";After moving all around the United States for various military assignments, a man is moving his family abroad for the first time to a country his wife has never even heard of -- the Netherlands. She's hoping to find a five-bedroom house with a walk-in closet in downtown Eindhoven so she can relax in a big house after a long day of shopping. He's unsure of what financial surprises might come with a move overseas and he's also aware of his wife's spending habits so he wants a simple family home well within budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-castle-in-the-netherlands target="_blank">here</a> for episode details.";51.44855695;5.450122522;
The English Countryside;Season: 121 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/the-english-countryside target="_blank">Watch on HGTV GO</a>";After 17 years together, a sports reporter and economics teacher are moving from suburban New York to Surrey, England, with their two teenage girls. Looking to leave the city grind for the slower pace of the English countryside, the couple hopes to find a home with character and charm that will fit their new lifestyle -- and their budget!;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/the-english-countryside target="_blank">here</a> for episode details.";51.2715316;-0.3414523511;
Dog Priorities in Antwerp;Season: 131 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/dog-priorities-in-antwerp target="_blank">Watch on HGTV GO</a>";A couple follows a job opportunity to Belgium at a time in their lives that they lovingly call their nerdy thirties. They're excited about exploring their new surroundings, however finding a space that can accommodate their senior dog is their utmost priority.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/dog-priorities-in-antwerp target="_blank">here</a> for episode details.";51.2211097;4.3997081;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d138
Adventures in Antwerp, Belgium;Season: 121 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/adventures-in-antwerp-belgium target="_blank">Watch on HGTV GO</a>";A family follows a job transfer to Antwerp, Belgium, but has different ideas on how to get the full experience. She wants a home with Belgian charm in the heart of the action, but he's looking for a suburban home that guarantees a short commute so he can spend more time with the family.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/adventures-in-antwerp-belgium target="_blank">here</a> for episode details.";51.2211097;4.3997081;
Something New in Antwerp, Belgium;Season: 123 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/something-new-in-antwerp-belgium target="_blank">Watch on HGTV GO</a>";After marrying her husband in her hometown, a woman decides it's time to find their first home together in his homeland of Antwerp, Belgium. She wants an apartment with a big kitchen and bathtub, but he's concerned with keeping the price low since they want to live in the city center on one income.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/something-new-in-antwerp-belgium target="_blank">here</a> for episode details.";51.2211097;4.3997081;
A Crawley Country Mile;Season: 138 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-crawley-country-mile target="_blank">Watch on HGTV GO</a>";American Grace and Londoner Kris have had a whirlwind long-distance relationship. Now they're married and moving to quiet Crawley, England, to start a life together. Adapting to married life is hard enough, but trying to agree on a home and finally living together in the same space may bring some growing pains.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-crawley-country-mile target="_blank">here</a> for episode details.";51.1103444;-0.1801094;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d137
Falling in Love with Wroclaw, Poland;Season: 135 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/falling-in-love-with-wroclaw-poland target="_blank">Watch on HGTV GO</a>";After falling in love with Poland and its culture, a young entrepreneur is moving to Wroclaw to develop his business. He hopes to be close to the action with a home in the city center, but he also wants some outdoor space.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/falling-in-love-with-wroclaw-poland target="_blank">here</a> for episode details.";51.1089776;17.0326689;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d136
The Purr-fect Home in Ghent;Season: 120 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/the-purr-fect-home-in-ghent target="_blank">Watch on HGTV GO</a>";An ambitious couple decides to leave their native California to move to Ghent, Belgium, for his job promotion. He wants a flat in the city center while she wants an eco-friendly house in the country with room for her cats. But with Belgium's three, six or nine-year lease stipulation, choosing the right apartment is more important than ever.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/the-purr-fect-home-in-ghent target="_blank">here</a> for episode details.";51.0538286;3.7250121;
A Fresh Start in Cologne;Season: 118 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-fresh-start-in-cologne target="_blank">Watch on HGTV GO</a>";After working in Germany for almost two decades, a man moved back to the states to reconnect with an old college friend. Now married, they're ready to continue their relationship together back in Germany after accepting a dream job offer in Cologne. She wants a home close to town with plenty of room for her kids to visit, but he's open to more creative options.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-fresh-start-in-cologne target="_blank">here</a> for episode details.";50.938361;6.959974;
Flying into Fareham;Season: 139 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/flying-into-fareham target="_blank">Watch on HGTV GO</a>";A pair of veteran travelers decide to leave the United States and permanently move to Fareham, England, after landing a job with UK's air traffic control systems. After they land, however, the couple experiences unexpected turbulence once they learn visiting a new country isn't the same as living there full time.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/flying-into-fareham target="_blank">here</a> for episode details.";50.8526637;-1.1783134;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d135
Rediscovering Brussels;Season: 142 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/rediscovering-brussels target="_blank">Watch on HGTV GO</a>";A man and his wife head to the candy haven of Brussels, Belgium, after he lands a job in the chocolate industry there. She wants to get to know herself again as she adjusts to her new empty nest living situation but starting over with no friends around and a confused dog could make their adventure bittersweet.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/rediscovering-brussels target="_blank">here</a> for episode details.";50.8465573;4.351697;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d134
Cheese, Chocolate, and Second Chances in Brussels;Season: 118 Episode: 8;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/cheese-chocolate-and-second-chances-in-brussels target="_blank">Watch on HGTV GO</a>";A couple jumps at the opportunity to reorganize their lives around time with the kids when he gets a job offer in Brussels, Belgium. He wants to live close to work so the commute doesn't eat into his home time, but she's worried that living too far from the action will leave her and the kids feeling isolated.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/cheese-chocolate-and-second-chances-in-brussels target="_blank">here</a> for episode details.";50.8465573;4.351697;
From the Burbs to Brighton;Season: 156 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/from-the-burbs-to-brighton target="_blank">Watch on HGTV GO</a>";A Washington couple takes a sabbatical in Brighton, England, to have more quality time with their kids. He hopes their new city will give the kids a global perspective, but she worries the change might be hard for them.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/from-the-burbs-to-brighton target="_blank">here</a> for episode details.";50.8220399;-0.1374061;
Home Base in Belgium;Season: 132 Episode: 10;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/home-base-in-belgium target="_blank">Watch on HGTV GO</a>";A woman transfers her military job to Hainaut, Belgium, and a local friend lends a hand with the home hunt. While she's torn between living close to base or near the city center, her friend has his own ulterior motives for keeping her nearby.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/home-base-in-belgium target="_blank">here</a> for episode details.";50.3624612;4.125173179;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d133
Love, Work, Babies and Bikes;Season: 128 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/love-work-babies-and-bikes target="_blank">Watch on HGTV GO</a>";A couple puts her law career on hold to support his military promotion in Hainaut, Belgium. Between their dog, his motorcycle and her desire to start a family, however, the young couple will have to agree on their priorities before they can move into any home.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/love-work-babies-and-bikes target="_blank">here</a> for episode details.";50.3624612;4.125173179;
A New Baby and New Life in Katowice;Season: 135 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-new-baby-and-new-life-in-katowice target="_blank">Watch on HGTV GO</a>";Soon-to-be parents have decided to give up their hectic lives in London and find a new home where they can focus more on free time. This Polish-British couple is looking for a spacious property in Katowice, Poland, that will fit their growing family, offer outdoor space for the kids and provide extra space for work.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-new-baby-and-new-life-in-katowice target="_blank">here</a> for episode details.";50.2598987;19.0215852;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d132
Struggling to Assimilate in Frankfurt, Germany;Season: 138 Episode: 11;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/struggling-to-assimilate-in-frankfurt-germany target="_blank">Watch on HGTV GO</a>";Australian newlyweds are finally reuniting to live together after he left to follow a dream job in Frankfurt, Germany. However, she struggles with local living, including the food and language, as well as contending with his obsession over fast German cars.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/struggling-to-assimilate-in-frankfurt-germany target="_blank">here</a> for episode details.";50.1106444;8.6820917;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d131
Getting To Know Bro In Frankfurt, Germany;Season: 118 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/getting-to-know-bro-in-frankfurt-germany target="_blank">Watch on HGTV GO</a>";A woman closes her gluten-free baking business in Washington, DC, to take a translating job in Frankfurt, Germany. With her younger brother in tow, it becomes clear they have very different tastes. While she wants a place with quirky character, he tries to pull her back to a more modern and spacious apartment.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/getting-to-know-bro-in-frankfurt-germany target="_blank">here</a> for episode details.";50.1106444;8.6820917;
A Taste of a New Life in Prague;Season: 135 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-taste-of-a-new-life-in-prague target="_blank">Watch on HGTV GO</a>";An energetic dance instructor has decided to leave her empty nest in Ohio and take up teaching English in Prague, Czech Republic. While looking for an apartment, she'll hopes to reconcile her passion for both traveling and cooking but doesn't want to compromise when it comes to affordability and space.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-taste-of-a-new-life-in-prague target="_blank">here</a> for episode details.";50.0874654;14.4212535;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d129
Jumping in Prague;Season: 135 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/jumping-in-prague target="_blank">Watch on HGTV GO</a>";A Canadian woman is leaving both her home and family to go on a European adventure! She fell in love with the area the first time she visited and hopes her best friend can help her find the perfect home in historic Prague, Czech Republic.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/jumping-in-prague target="_blank">here</a> for episode details.";50.0874654;14.4212535;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d130
From Stability to Prague;Season: 157 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/from-stability-to-prague target="_blank">Watch on HGTV GO</a>";A career-driven man gets a new outlook on life after his father's passing and moves to Prague. His girlfriend prefers to be near the city center, but he wants to be further out in a more spacious place since they'll both be working from home.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/from-stability-to-prague target="_blank">here</a> for episode details.";50.0874654;14.4212535;
A Queendom in Germany;Season: 154 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-queendom-in-germany target="_blank">Watch on HGTV GO</a>";A single mom, and self-proclaimed queen, follows a job opportunity to Wiesbaden, Germany, with her 12-year-old son in tow. She wants a single-family home with an extra room for crafting, but location, price and her son's needs must also be a factor.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-queendom-in-germany target="_blank">here</a> for episode details.";50.0820384;8.2416556;
Make Room for Six in Krakow, Poland;Season: 135 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/make-room-for-six-in-krakow-poland target="_blank">Watch on HGTV GO</a>";A couple seizes a once-in-a-lifetime opportunity and moves their family of six to Krakow, Poland. After living hectic lives apart in the US, they want to spend more time together in a home that has enough room for everyone.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/make-room-for-six-in-krakow-poland target="_blank">here</a> for episode details.";50.0619474;19.9368564;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d127
