name;ep;watch;desc;deets;lat;lng;hulu
Adulting in Aberdeen, Scotland;Season: 145 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/adulting-in-aberdeen-scotland target="_blank">Watch on HGTV GO</a>";Recent college grads search for their first place together in Aberdeen, Scotland. They're not sure where to start, but with their eyes on the city center and minimal budget, their unrealistic expectations could put a strain on their relationship.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/adulting-in-aberdeen-scotland target="_blank">here</a> for episode details.";57.1482429;-2.0928095;
Hitting the Links in Aalborg;Season: 134 Episode: 5;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/hitting-the-links-in-aalborg target="_blank">Watch on HGTV GO</a>";After a golfer from Denmark fell in love with a Texas college student, the pair began a long-distance relationship that eventually turned into marriage. Now married and with a baby on the way, the couple is ready to settle in his hometown of Aalborg, Denmark, where they can start a family, focus on his golf career and see what other surprises are in store.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/hitting-the-links-in-aalborg target="_blank">here</a> for episode details.";57.0462626;9.9215263;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d164
Digging Up Roots in Riga;Season: 156 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/digging-up-roots-in-riga target="_blank">Watch on HGTV GO</a>";A single woman receives a grant to pursue her passion and European roots in Riga, Latvia. She's looking for a newly renovated apartment that's close to work and the city center, but finding the ideal location will be a challenge.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/digging-up-roots-in-riga target="_blank">here</a> for episode details.";56.9493977;24.1051846;
Succeeding in Scotland;Season: 156 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/succeeding-in-scotland target="_blank">Watch on HGTV GO</a>";A woman accepted to a prestigious university moves to St. Andrews, Scotland, with her two children. She has spina bifida and needs an accessible, first floor residence with a stand-up shower, but finding the right place will be a challenge on her budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/succeeding-in-scotland target="_blank">here</a> for episode details.";56.3403902;-2.7955844;
Closing the Distance in Denmark;Season: 116 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/closing-the-distance-in-denmark target="_blank">Watch on HGTV GO</a>";A couple that's been dating long distance are tired of traveling to see each other, so she's moving to Aarhus, Denmark, to be with him. She wants to find a Zen-like home outside the city and start an in-home yoga studio, but he wants to be in the heart of the action downtown.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/closing-the-distance-in-denmark target="_blank">here</a> for episode details.";56.1496278;10.2134046;
A PhD in Stirling, Scotland;Season: 141 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-phd-in-stirling-scotland target="_blank">Watch on HGTV GO</a>";When a Queens, New York, native got accepted into a PhD program in Stirling, Scotland, she had to first convince her husband to leave his career behind for a move to the United Kingdom. She's looking for an apartment outside of town that allows an easy commute to the university but he's hoping to find a cheap home in the city so he can save money for his motorcycle hobby.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-phd-in-stirling-scotland target="_blank">here</a> for episode details.";56.1181242;-3.9360012;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d163
Embracing Edinburgh, Scotland;Season: 121 Episode: 11;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/embracing-edinburgh-scotland target="_blank">Watch on HGTV GO</a>";A woman who fell in love with the storybook atmosphere of Edinburgh, Scotland, has received a job offer in her fairy-tale town. Her husband is reluctant to move but agrees to give it all up to follow her dream. She wants to find a home with water views she couldn't get in the States, but with moving abroad on one salary, he wants to find a home farther inland where rent is lower.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/embracing-edinburgh-scotland target="_blank">here</a> for episode details.";55.9533456;-3.1883749;
Heart Over Head in Edinburgh;Season: 127 Episode: 7;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/heart-over-head-in-edinburgh target="_blank">Watch on HGTV GO</a>";After dating for two weeks, a couple decides to follow her dream of living in the United Kingdom. Knowing her father was born in Manchester, she wants to return to her roots and he is ready to throw away his teaching job to follow his love to Edinburgh.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/heart-over-head-in-edinburgh target="_blank">here</a> for episode details.";55.9533456;-3.1883749;
Chasing a Better Life in Glasgow;Season: 142 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/chasing-a-better-life-in-glasgow target="_blank">Watch on HGTV GO</a>";A couple faces financial risks and other complications when they leave Seattle for Glasgow, Scotland. They love the art scene, the food and the people, but practical matters may put a damper on their big dreams.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/chasing-a-better-life-in-glasgow target="_blank">here</a> for episode details.";55.8609825;-4.2488787;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d162
Long-Term Living in Denmark;Season: 137 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/long-term-living-in-denmark target="_blank">Watch on HGTV GO</a>";A Pennsylvania couple goes all-in to pursue one's career in Copenhagen, Denmark. While Mike wants to embrace minimalism and local living, Derek feels he has given up a lot and wants to be comfortable in his home.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/long-term-living-in-denmark target="_blank">here</a> for episode details.";55.6867243;12.5700724;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d161
